,name,type,address,maxSeated,website,lat,lng
37,Cage Sports,Sports Complex,"4110 Morrish Rd, Swartz Creek, MI 48473, USA",600,,42.9688716,-83.8318067
38,Crystal Fieldhouse Ice Arena,Arena,"5371 Daly Farms Dr, Burton, MI 48509, USA",0,,43.0257665,-83.59908539999999
39,Genesee Fieldhouse ,Sports Complex,"7383 Grand Pkwy, Grand Blanc, MI 48439, USA",0,,42.9183967,-83.7249983
40,Grand Valley State University ,College/University,"1 Campus Dr, Allendale, MI 49401, USA",0,,42.9638087,-85.8883334
41,Mt. Holiday,Other,"3100 Holiday Rd, Traverse City, MI 49686, USA",0,https://mt-holiday.com/,44.743576,-85.5144882
42,Keystone Soccer Complex,Parks & Rec,"712 N Keystone Rd, Traverse City, MI 49696, USA",0,,44.7021649,-85.6139333
43,Grand Traverse Resort and Spa,Golf Course,"100 Grand Traverse Village Blvd, Acme, MI 49610, USA",0,,44.778425,-85.4876644
44,Flintfields Horse Park,Other,"6535 Bates Rd, Williamsburg, MI 49690, USA",0,,44.7804744,-85.44519509999999
45,Holland Community Aquatic Center,Aquatic Center,"550 Maple Ave, Holland, MI 49423, USA",800,,42.7769406,-86.11617319999999
46,Richfield County Park,Parks & Rec,"6322 N Irish Rd, Davison, MI 48423, USA",0,https://geneseecountyparks.org/explore/richfield-county-park-bmx-track/,43.0997067,-83.55796339999999
47,Richfield Bowl,Other,"5340 Richfield Rd, Flint, MI 48506, USA",0,https://bowlflint.com/,43.0517066,-83.6034107
48,Jack N. Abernathy Regional Park,Parks & Rec,"402 Dayton St, Davison, MI 48423, USA",0,,43.0262339,-83.5301324
49,Creasey Bicentennial Park,Parks & Rec,"1505 E Grand Blanc Rd, Grand Blanc, MI 48439, USA",0,https://gbparks.recdesk.com/Community/Facility/Detail?facilityId=37,42.9157579,-83.6722626
50,B's Bowling,Other,"750 S Center Rd, Flint, MI 48506, USA",0,https://bowlflint.com/,43.0198667,-83.6356058
51,Ascension Genesys Health Club,Other,"801 Health Park Blvd, Grand Blanc, MI 48439, USA",0,https://ascensiongenesyshealthclub.com/,42.8902994,-83.63612859999999
52,Rollaway Lanes & Lounge,Recreation Center,"317 S Main St, Davison, MI 48423, USA",0,,43.0278188,-83.5162691
53,Williams Gun Sight,Other,"7389 Lapeer Rd, Davison, MI 48423, USA",0,,43.012792,-83.5605609
54,Goldenrod Disc Golf Course,Golf Course,"6405 Irish Rd, Davison, MI 48423, USA",0,,42.96897389999999,-83.5544343
55,Flushing Valley Golf Club,Golf Course,"1124 E Main St, Flushing, MI 48433, USA",0,,43.0609735,-83.8313095
56,Extreme Indoor Kart Racing,Recreation Center,"2259 W Vienna Rd, Clio, MI 48420, USA",0,,43.1761162,-83.7237324
57,Davison Country Club,Golf Course,"9512 E Lippincott Blvd, Davison, MI 48423, USA",0,,42.9999335,-83.51901459999999
58,Lake Callis Recreation Complex,Parks & Rec,"1152 N Gale Rd, Davison, MI 48423, USA",0,,43.0256023,-83.53433749999999
59,Galaxy Lanes,Recreation Center,"2226 E Hill Rd, Grand Blanc, MI 48439, USA",0,,42.9425108,-83.66393289999999
60,Fenton Lanes Family Fun Center,Recreation Center,"3014 W Thompson Rd, Fenton, MI 48430, USA",0,,42.8639122,-83.7299582
61,Fenton Farms Golf Club,Golf Course,"12312 Torrey Rd, Fenton, MI 48430, USA",0,,42.8488051,-83.7344742
62,Everett A. Cummings Center,Recreation Center,"6130 E Mt Morris Rd, Mt Morris, MI 48458, USA",0,,43.1173321,-83.59268019999999
63,Grand Rapids Community College,College/University,"143 Bostwick Ave NE, Grand Rapids, MI 49503, USA",0,https://grccraiders.com/sports/2011/2/3/Ford_Fieldhouse.aspx,42.96697289999999,-85.66676509999999
64,Grand Blanc Lanes,Recreation Center,"5301 S Saginaw St, Flint, MI 48507, USA",0,,42.9545916,-83.65958119999999
65,Colonial Lanes,Recreation Center,"6430 W Pierson Rd, Flushing, MI 48433, USA",0,,43.0612492,-83.8084329
66,Riverside Park,Parks & Rec,"2001 Monroe Ave NE, Grand Rapids, MI 49505, USA",0,https://www.grandrapidsmi.gov/Directory/Places/Parks/Riverside-Park,43.01129479999999,-85.6686636
67,Belknap Park,Parks & Rec,"30 Coldbrook St NE, Grand Rapids, MI 49503, USA",0,,42.9809589,-85.6658482
68,Matt Urban Sports Complex,Sports Complex,"270 E 32nd St, Holland, MI 49423, USA",0,https://www.cityofholland.com/Facilities/Facility/Details/Matt-Urban-Sports-Complex-16,42.7653955,-86.0946864
69,Martin Arena,Sports Complex,"5165 E Remus Rd, Mt Pleasant, MI 48858, USA",0,https://mpicearena.com/,43.59904160000001,-84.7439757
70,Morey Courts,Sports Complex,"5175 E Remus Rd, Mt Pleasant, MI 48858, USA",0,https://www.moreycourts.com/,43.5987944,-84.74378229999999
71,LMCU Ballpark ,Stadium,"4500 W River Dr NE, Comstock Park, MI 49321, USA",8000,https://lmcuballpark.com/,43.0400893,-85.6600235
72,Midwest United FC Complex ,Stadium,"3450 36th St SE, Grand Rapids, MI 49512, USA",0,https://www.midwestunitedfc.com/home,42.89580249999999,-85.58140929999999
73,MSA Woodland,Sports Complex,"2100 28th St SE, Grand Rapids, MI 49508, USA",0,https://michigansportsacademies.com/,42.9115316,-85.61578089999999
74,The DeltaPlex,Arena,"2500 Turner Ave NW, Grand Rapids, MI 49544, USA",7000,https://deltaplex.com/,43.0096719,-85.6811804
75,Patterson Ice Center,Sports Complex,"2550 Patterson Ave SE, Grand Rapids, MI 49546, USA",1038,https://www.pattersonicecenter.com/,42.9168742,-85.5475384
76,Houseman Field,Stadium,"162 Houseman Ave NE, Grand Rapids, MI 49503, USA",8000,"https://www.google.com/maps/place/Houseman+Field+Playground/@42.9658255,-85.6479413,17.5z/data=!4m13!1m7!3m6!1s0x8819ac570ef07885:0xe52a75f3727a47a9!2sHouseman+Ave+NE,+Grand+Rapids,+MI!3b1!8m2!3d42.98",42.9654844,-85.6454942
77,Walker Ice Arena,Arena,"4151 Remembrance Rd NW, Grand Rapids, MI 49534, USA",400,https://www.walkericeandfitness.com/,43.0057597,-85.77131039999999
78,The Courthouse Athletic Center ,Sports Complex,"8895 Byron Commerce Dr SW, Byron Center, MI 49315, USA",0,,42.8030034,-85.67230219999999
79,Matthaei Center,Sports Complex,"5210 Gullen Mall, Detroit, MI 48202, USA",0,,42.3579483,-83.069949
80,Little Ceasars Arena,Arena,"2645 Woodward Ave, Detroit, MI 48201, USA",0,,42.3419612,-83.05495979999999
81,Meijer Sports Complex ,Sports Complex,"3300 10 Mile Rd NE, Rockford, MI 49341, USA",1000,https://wmscsportscomplex.com/,43.1150994,-85.5878594
82,GingerMan Raceway,Sports Complex,"61414 Phoenix St, South Haven, MI 49090, USA",0,https://www.gingermanraceway.com/,42.40433220000001,-86.1448899
83,Kalamazoo Speedway,Sports Complex,"7656 Ravine Rd, Kalamazoo, MI 49009, USA",0,https://www.kalamazoospeedway.com/,42.371216,-85.6766652
84,High Velocity Sports,Sports Complex,"46245 Michigan Ave, Canton, MI 48188, USA",0,https://www.hvsports.com/,42.2686931,-83.4945237
85, Wideworld Sports Center,Sports Complex,"2140 Oak Valley Dr, Ann Arbor, MI 48103, USA",0,https://www.wideworld-sports.com/,42.2517778,-83.780074
86,Tri-City Motor Speedway,Sports Complex,"85 Wheeler Rd, Auburn, MI 48611, USA",0,,43.6393619,-84.04573789999999
87,Saginaw Bay Ice Arena,Sports Complex,"6129 Bay Rd, Saginaw, MI 48604, USA",0,,43.4963717,-83.9748602
88,Rudy Zauel Park South Little League,Sports Complex,"4540 Augustine St, Saginaw, MI 48638, USA",0,,43.4051723,-84.0053306
89,Redcoats Softball Complex,Sports Complex,"605 Whitman Dr, Midland, MI 48640, USA",0,,43.6072918,-84.2555362
90,Pintown Pizza & Lanes,Sports Complex,"142 N Saginaw Rd, Midland, MI 48640, USA",0,,43.626877,-84.22755339999999
91,North Little League Park,Sports Complex,"2760 N Center Rd, Saginaw, MI 48603, USA",0,,43.4478008,-84.0144754
92,Woodworth Field,Sports Complex,"1200 Academy St, Kalamazoo, MI 49006, USA",0,,42.290658,-85.601255
93,Wings West Ice Arena,Arena,"5076 Sports Dr, Kalamazoo, MI 49009, USA",0,,42.2440842,-85.67511060000001
94,Mayors Riverfront Park - SRC Field,Sports Complex,"251 Mills St, Kalamazoo, MI 49048, USA",0,,42.2906734,-85.56326039999999
95,Mackenzie Field,Sports Complex,"1600 W Michigan Ave, Kalamazoo, MI 49008, USA",0,,42.2861539,-85.6076269
96,Angell Field,Sports Complex,"1200 Academy St, Kalamazoo, MI 49006, USA",0,,42.290658,-85.601255
97,Greater Saginaw Amateur Hockey Association,Sports Complex,"6129 Bay Rd, Saginaw, MI 48604, USA",0,,43.4963717,-83.9748602
98,Fraternal Northwest Little League Complex,Sports Complex,"7001 N Sturgeon Rd, Midland, MI 48642, USA",0,,43.66086440000001,-84.26718199999999
99,Secchia Stadium - MSU,Sports Complex,"223 Kalamazoo St, East Lansing, MI 48824, USA",1500,,42.7308321,-84.4901931
100,Ralph Young Field -  MSU,Sports Complex,"Michigan, USA",0,,44.3148443,-85.60236429999999
101,Hope Sports Complex,Sports Complex,"5801 N Aurelius Rd, Lansing, MI 48911, USA",1000,,42.67302369999999,-84.5234428
102,Lansing Soccer Zone,Sports Complex,"7101, 4900 Contec Dr, Lansing, MI 48910, USA",0,,42.6862439,-84.5291817
103,Munn Ice Arena - MSU,Sports Complex,"509 Birch Rd, East Lansing, MI 48824, USA",6100,,42.7281675,-84.4892911
104,McLane Stadium at Kobs Field - MSU,Sports Complex,"223 Kalamazoo St, East Lansing, MI 48824, USA",2500,,42.7308321,-84.4901931
105,Jackson Field,Sports Complex,"505 E Michigan Ave, Lansing, MI 48912, USA",0,,42.7345814,-84.54638039999999
106,Jenison Field House - MSU,Sports Complex,"223 Kalamazoo St, East Lansing, MI 48824, USA",0,,42.7308321,-84.4901931
107,Lake Alliance Softball Complex,Sports Complex,"515 Alliance Dr, Potterville, MI 48876, USA",0,,42.6205084,-84.75275289999999
108,Lansing Center,Convention Center,"333 E Michigan Ave, Lansing, MI 48933, USA",0,,42.7337472,-84.5485152
109,Lansing City Futsal,Sports Complex,"904 Elmwood Rd, Lansing, MI 48917, USA",0,,42.7433302,-84.62036119999999
110,Lansing Community Center,Sports Complex,"610 N Capitol Ave, Lansing, MI 48933, USA",0,,42.7402356,-84.5535572
111,IM East,Sports Complex,"804 E Shaw Ln, East Lansing, MI 48824, USA",0,,42.7247497,-84.4687179
112,IM West,Sports Complex,"393 Chestnut Rd, Okemos, MI 48864, USA",0,,42.72888349999999,-84.4872082
113,Gier Park,Sports Complex,"2809 N East St, Lansing, MI 48906, USA",100,,42.76245220000001,-84.5432072
114,Erickson Park,Sports Complex,"4220 S Canal Rd, Lansing, MI 48917, USA",0,,42.6893645,-84.6643022
115,DeMartin Soccer Complex,Sports Complex,"261 Kalamazoo St, East Lansing, MI 48824, USA",2500,,42.7299301,-84.48960350000002
116,Don Johnson Field House,Sports Complex,"220 N Pennsylvania Ave, Lansing, MI 48912, USA",0,,42.73548,-84.537504
117,East Lansing Soccer Complex,Sports Complex,"3636 Coleman Rd, East Lansing, MI 48823, USA",250,,42.7726248,-84.4923103
118,East Lansing Softball Complex,Sports Complex,"6408 Abbot Rd, East Lansing, MI 48823, USA",200,,42.767783,-84.480704
119,Eaton Rapids Softball Complex,Sports Complex,"Howe Dr, Eaton Rapids, MI 48827, USA",0,,42.5120658,-84.6606517
120,Silver Stick Finals Port Huron,Sports Complex,"Port Huron, MI 48060, USA",0,,42.9751872,-82.4644445
121,McMorran Place,Convention Center,"701 McMorran Blvd, Port Huron, MI 48060, USA",0,,42.9790393,-82.4255903
122,Court One Athletic Club - EAST,Sports Complex,"2291 Research Dr, Okemos, MI 48864, USA",0,,42.7051885,-84.4354007
123,Michigan Meadows Golf Course,Sports Complex,"4575 County Line Rd, Casco, MI 48064, USA",0,,42.761286,-82.72950399999999
124,Court One Athletic Club - North,Sports Complex,"1609 Lake Lansing Rd, Lansing, MI 48912, USA",0,,42.7623748,-84.5276254
125,Capitol Quarter Midgets Race Track,Sports Complex,"16460 Old U.S. 27, Lansing, MI 48906, USA",0,,42.77736,-84.5435962
126,Breslin Student Events Center,Sports Complex,"534 Birch Rd, East Lansing, MI 48823, USA",15000,,42.7280966,-84.4922898
127,Beacon Soccer Field - Southwest,Sports Complex,"3500 Simken Dr, Lansing, MI 48910, USA",0,,42.6967036,-84.58106
128,Beacon Soccer Field - Downtown,Sports Complex,"417 N Walnut St, Lansing, MI 48933, USA",0,,42.7376745,-84.5572476
129,Blue Water Convention Center,Convention Center,"800 Harker St, Port Huron, MI 48060, USA",0,,42.9983381,-82.4272838
130,Athletic Factory Inc.,Sports Complex,"1517 10th St, Port Huron, MI 48060, USA",0,,42.96746599999999,-82.4333798
131,Revolution Ice Arena,Sports Complex,"75 Houston St, Battle Creek, MI 49017, USA",1000,,42.3198343,-85.1896474
132,YMCA Sports Complex,Sports Complex,"182 Capital Ave NE, Battle Creek, MI 49017, USA",0,,42.3215216,-85.1756187
133,Wattles Park Men's Club,Sports Complex,"144 S Wattles Rd, Battle Creek, MI 49014, USA",0,,42.3062325,-85.1146801
134,Davenport University,College/University,"6191 Kraft Ave SE, Grand Rapids, MI 49512, USA",0,,42.8483551,-85.5300821
135,Berlin Raceway,Other,"2060 Berlin Fair Dr, Marne, MI 49435, USA",0,https://www.berlinraceway.com/,43.0355264,-85.8351859
136,Canepa Tennis Center,Tennis Complex,"2915 Hall St SE, Grand Rapids, MI 49506, USA",0,,42.9416237,-85.59682
137,Grace Christian University,College/University,"1011 Aldon St SW, Grand Rapids, MI 49509, USA",0,https://gracechristian.edu/,42.9194335,-85.690033
138,Aquinas College ,College/University,"1700 Fulton St E, Grand Rapids, MI 49503, USA",1500,https://aqsaints.com/sports/2019/6/26/aquinas-college-athletic-recreation-facilities.aspx,42.9610438,-85.62569289999999
139,Calvin University,College/University,"3201 Burton St SE, Grand Rapids, MI 49546, USA",0,https://www.calvinknights.com/facilities/index,42.9328286,-85.58154739999999
140,Cornerstone University,College/University,"1001 E Beltline Ave NE, Grand Rapids, MI 49525, USA",0,https://www.cugoldeneagles.com,42.9801473,-85.59209229999999
141,Ypsilanti High School,Public (K-12) School,"2095 Packard St, Ypsilanti, MI 48197, USA",0,https://www.ycschools.us/,42.2432957,-83.645161
142,Pioneer High School,Public (K-12) School,"601 W Stadium Blvd, Ann Arbor, MI 48103, USA",0,https://phs.wjusd.org/,42.2620543,-83.7531127
143,Milan High School,Public (K-12) School,"200 Big Red Dr, Milan, MI 48160, USA",0,https://www.milanhigh.org/,42.0853204,-83.6824384
144,Eastern Michigan University,College/University,"900 Oakwood St, Ypsilanti, MI 48197, USA",0,https://www.emich.edu/,42.2497637,-83.6287739
145,Lake Cora Hills,Golf Course,"56640 Co Rd 671, Paw Paw, MI 49079, USA",0,,42.2120919,-85.9786245
146,Airway Fun Center,Recreation Center,"5626 Portage Rd, Portage, MI 49002, USA",0,https://www.airwayfuncenter.com/,42.234904,-85.5614512
147,Angels Crossing,Golf Course,"3600 W Ave E, Vicksburg, MI 49097, USA",0,https://golfangelscrossing.com/,42.1070861,-85.5448985
148,Eastern Hills Golf Course,Golf Course,"4200 Lovers Ln, Kalamazoo, MI 49001, USA",0,https://kmgagolf.com/eastern_hills/,42.2484877,-85.574523
149,Gull Lake View Golf Resort,Golf Course,"7417 N 38th St, Augusta, MI 49012, USA",0,https://www.gulllakeview.com/,42.3677632,-85.3860729
150,Hickory Ridge Golf Course,Golf Course,"65 N 30th St, Galesburg, MI 49053, USA",0,https://golfhickoryridgemi.com/,42.291465,-85.48009499999999
151,Kalamazoo College,College/University,"1200 Academy St, Kalamazoo, MI 49006, USA",0,https://www.kzoo.edu/,42.290658,-85.601255
152,Lake Doster Golf Club,Golf Course,"116 Country Club Blvd, Plainwell, MI 49080, USA",0,https://www.lakedostergolf.com/,42.437054,-85.55566139999999
153,Western Michigan University,College/University,"1903 W Michigan Ave, Kalamazoo, MI 49008, USA",0,https://wmich.edu/,42.2845248,-85.61022349999999
154,Phyllis Ocker Field Hockey Field,College/University,"Ann Arbor, MI 48104, USA",0,https://mgoblue.com/sports/2017/6/16/facilities-ocker-field-html.aspx,42.2660881,-83.7146001
155,Concordia University,College/University,"4090 Geddes Rd, Ann Arbor, MI 48105, USA",0,https://www.cuaa.edu/,42.2723033,-83.6800719
156,Skyline High School,Public (K-12) School,"2552 N Maple Rd, Ann Arbor, MI 48103, USA",0,https://www.ousd.org/skyline,42.3045048,-83.77766869999999
157,University of Michigan,College/University,"500 S State St, Ann Arbor, MI 48109, USA",0,https://umich.edu/,42.2762537,-83.7412441
158,Bowlero Lanes Fun Center,Recreation Center,"775 W Columbia Ave, Battle Creek, MI 49015, USA",0,https://www.michigan.org/property/nottke-s-family-fun-center,42.2977788,-85.21312119999999
159,White Birch Hills Golf Course,Golf Course,"360 Ott Rd, Bay City, MI 48706, USA",0,,43.6315659,-84.0364646
160,Washington Lanes & Family Entertainment,Recreation Center,"1205 Washington Ave, Bay City, MI 48708, USA",0,,43.6024356,-83.8879108
161,Valley View Farm Golf Course,Golf Course,"1435 S Thomas Rd, Saginaw, MI 48609, USA",0,,43.4018892,-84.1111171
162,Valley Lanes Family Enterntainment Center,Recreation Center,"5021 Bay City Rd, Midland, MI 48642, USA",0,,43.6058875,-84.1657701
163,Twin Brooks Golf Club,Golf Course,"Twin Brooks Golf Course, 1005 McKeighan Rd, Chesaning, MI 48616, USA",0,,43.1954779,-84.12982679999999
164,Swan Valley Golf Club & Banquet Center,Golf Course,"9521 Highland Green Dr, Saginaw, MI 48609, USA",0,,43.4239101,-84.1021044
165,STC Pro Bowl,Recreation Center,"1106 N Saginaw St, St Charles, MI 48655, USA",0,,43.3063477,-84.1422357
166,Stardust Lanes,Recreation Center,"3750 Bay Rd, Saginaw, MI 48603, USA",0,,43.46204900000001,-83.97393009999999
167,Spring Valley Golf Course,Golf Course,"2635 E Beaver Rd, Kawkawlin, MI 48631, USA",0,,43.6681738,-83.9442208
168,Sovereign Field,Parks & Rec,"Woodside Ave, Bay City, MI, USA",0,,43.6063562,-83.8669971
169,Showboat Park (and Boat Launch),Parks & Rec,"807 S Front St, Chesaning, MI 48616, USA",6300,,43.1784963,-84.11639869999999
170,Sandy Ridge Golf Course,Golf Course,"2750 Lauria Rd, Midland, MI 48642, USA",0,,43.6617065,-84.15905339999999
171,Saginaw Valley State University,College/University,"7400 Bay Rd, University Center, MI 48710, USA",1000,,43.5134587,-83.9611561
172,Saginaw Valley Public Golf Course,Golf Course,"7255 3 Mile Rd, Bay City, MI 48706, USA",0,,43.5295325,-83.94987470000001
173,Roosevelt Park,Parks & Rec,"Broadway St, Bay City, MI 48708, USA",0,,43.5727869,-83.8936732
174,Pleasant View Golf Course,Golf Course,"3424 Barnard Rd, Saginaw, MI 48603, USA",0,,43.4567261,-83.96471079999999
175,Northwood University,College/University,"4000 Whiting Drive, Midland, MI 48640, USA",4000,,43.6330129,-84.28035249999999
176,Northern Lanes & Lounge,Recreation Center,"1129 Saginaw Rd, Sanford, MI 48657, USA",0,,43.6851811,-84.4134227
177,Monitor Lanes,Recreation Center,"1700 S Euclid Ave, Bay City, MI 48706, USA",0,,43.583648,-83.91702099999999
178,Midland Gymnastics Training Center,Gymnastics Center,"1111 E Wackerly St, Midland, MI 48642, USA",0,,43.6552354,-84.2146229
179,Mid Michigan Gymnastics,Gymnastics Center,"5686 Midland Rd, Freeland, MI 48623, USA",0,,43.4914188,-84.0970534
180,Maplewood Park,Parks & Rec,"N Sheridan St, Bay City, MI 48708, USA",0,,43.5971933,-83.8770351
181,Maple Leaf Golf Course,Golf Course,"158 N Mackinaw Rd, Linwood, MI 48634, USA",0,,43.7435571,-83.98744649999999
182,LeFevre's Family Bowl,Recreation Center,"6220 State St, Saginaw, MI 48603, USA",0,,43.4377817,-84.038963
183,Infinity Skate Park,Parks & Rec,"209 E Hart St, Bay City, MI 48706, USA",0,,43.612922,-83.891465
184,Kalamazoo College Athletic Fields Complex,College/University,"1600 W Michigan Ave, Kalamazoo, MI 49008, USA",0,,42.2861539,-85.6076269
185,Hewitt Park,Parks & Rec,"19th St, Bay City, MI 48708, USA",0,,43.5827953,-83.8835534
186,Gym-Jester Gymnastics Center,Gymnastics Center,"323 Weiss St, Saginaw, MI 48604, USA",0,,43.4433077,-83.9467172
187,Green Acres Golf Course,Golf Course,"7323 Dixie Hwy, Bridgeport, MI 48722, USA",0,,43.329334,-83.824028
188,Greater Midland Tennis Center,Tennis Complex,"90 E Wackerly St, Midland, MI 48640, USA",0,,43.65477569999999,-84.2268928
189,Greater Midland and Curling Club,Recreation Center,"2009 Jefferson Ave, Midland, MI 48640, USA",0,,43.6163326,-84.2279207
190,"Crooked Creek Golf, Bowling & Banquet Center",Golf Course,"9387 Gratiot Rd, Saginaw, MI 48609, USA",0,,43.411268,-84.099305
191,Beech Hollow Golf Course,Golf Course,"7494 Hospital Rd, Freeland, MI 48623, USA",0,,43.515198,-84.04713890000001
192,Bay Valley Resort & Conference Center,Golf Course,"2470 Old Bridge Rd, Bay City, MI 48706, USA",0,,43.5572105,-83.95598629999999
193,Bay County Golf Course  ,Golf Course,"584 W Hampton Rd, Essexville, MI 48732, USA",0,,43.6202007,-83.80375049999999
194,Bay City Rowing Club,Rowing Center,"350 W Lafayette Ave, Bay City, MI 48706, USA",0,,43.5806061,-83.90274409999999
195,Alert Lanes,Recreation Center,"915 N Pine Rd, Essexville, MI 48732, USA",0,,43.5919631,-83.8390988
196,Suburban Ice - East Lansing,Recreation Center,"2810 Hannah Blvd, East Lansing, MI 48823, USA",1800,,42.7201848,-84.45418529999999
197,West Side Park,Parks & Rec,"801 Stanley St, Lansing, MI 48915, USA",700,,42.7430329,-84.580725
198,Waverly High School,Public (K-12) School,"515 Snow Rd, Lansing, MI 48917, USA",500,,42.7279079,-84.6210127
199,Timber Ridge Golf Club,Golf Course,"16339 Park Lake Rd, East Lansing, MI 48823, USA",0,,42.7788255,-84.4317907
200,Spare Time Entertainment Center,Recreation Center,"3101 E Grand River Rd, Lansing, MI 48912, USA",0,,42.7426823,-84.50770059999999
201,Royal Scot Golf and Bowl,Golf Course,"4722 W Grand River Ave, Lansing, MI 48906, USA",0,,42.7753858,-84.61602390000002
202,Ranney Park,Parks & Rec,"3201 E Michigan Ave, Lansing, MI 48912, USA",2200,,42.737082,-84.504075
203,Munn Field - MSU,College/University,"Michigan, USA",0,,44.3148443,-85.60236429999999
204,MTA Homegrounds,Recreation Center,"1534 W Service Rd, Mason, MI 48854, USA",0,,42.5374138,-84.4491309
205,MSU Outdoor Tennis Courts,Tennis Complex,"Michigan, USA",1200,,44.3148443,-85.60236429999999
206,MSU Tennis Center,Tennis Complex,"3571 E Mt Hope Rd, East Lansing, MI 48823, USA",1200,,42.7118155,-84.4953091
